"name","games","gs","mpg","fg","fga","fgp","two","twoa","twop","three","threea","threep","ft","fta","ftp","orb","drb","trb","apg","spg","bpg","tpg","pfpg","ppg","sos","allstar"
"Blake Ahearn",129,84,26.5,3.7,8.9,0.423,1.6,3.6,0.444,2.1,5.2,0.408,3.4,3.6,0.946,0.3,1.5,1.7,1.8,0.7,0,1.7,1.3,13,4.41,0
"Danny Ainge",118,NA,36.1,8.4,15.9,0.526,NA,NA,NA,NA,NA,NA,4.2,5.1,0.816,NA,NA,4.6,4.6,1.7,0.2,3.2,3.3,20.9,4.42,1
"Josh Akognon",119,77,26.3,5,12.3,0.408,2.2,4.7,0.466,2.8,7.6,0.372,2.3,2.7,0.871,0.4,2.2,2.6,1.3,0.9,0.1,1.6,1.8,15.2,2.71,0
"Solomon Alabi",77,68,22,3.5,6.6,0.534,3.5,6.6,0.535,0,0,0,2.1,2.9,0.745,2.1,3.3,5.4,0.4,0.5,2.1,1.7,2.1,9.1,7.34,0
"Mark Alarie",133,133,30.4,6.2,11.3,0.55,NA,NA,0.498,NA,NA,0,3.6,4.5,0.797,NA,NA,6.3,1.1,0.9,0.8,2,2.9,16.1,7.57,0
"Cole Aldrich",111,71,21,3.5,6.1,0.574,3.5,6.1,0.574,0,0,NA,2.3,3.2,0.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,8.12,0
"LaMarcus Aldridge",53,53,30.2,5.2,8.9,0.586,5.2,8.9,0.586,0,0,NA,3,4.7,0.649,3.4,4.8,8.2,0.6,1.3,1.8,1.6,2.7,13.5,7.28,1
"Chuck Aleksinas",96,54,23.2,3.8,6.8,0.561,NA,NA,NA,NA,NA,NA,2.5,3.5,0.721,NA,NA,5,0.3,NA,NA,2,2.5,10.1,4.58,0
"Cliff Alexander",28,6,17.6,2.6,4.6,0.566,2.6,4.6,0.566,0,0,NA,1.9,2.8,0.671,2,3.3,5.3,0.4,0.2,1.3,1,2,7.1,12.13,0
"Cory Alexander",85,85,33.6,5.4,12.6,0.427,3.7,7.7,0.485,1.7,5,0.336,2.7,3.8,0.698,NA,NA,3.5,4.7,1.2,0.2,3.3,2.2,15.1,10.19,0
"Courtney Alexander",112,47,30.9,7.2,15.8,0.456,5.7,11.7,0.488,1.5,4.1,0.362,3,3.9,0.767,NA,NA,3.9,2.2,1.1,0.2,2,2.2,18.9,7.47,0
"Joe Alexander",82,70,25.3,4.5,10,0.447,3.9,7.9,0.488,0.6,2.1,0.295,2.5,3.3,0.765,1.5,3.3,4.8,2,0.6,1.2,1.8,2.2,12.1,7.04,0
"Victor Alexander",111,84,26.6,7,11.5,0.611,7,11.5,0.611,0,0,0,3,4.8,0.635,NA,NA,7.3,1.1,0.7,1.1,2.1,2.2,17,9.97,0
"Steve Alford",125,120,37,7.2,13.5,0.533,NA,NA,0.438,NA,NA,0.53,4.3,4.8,0.898,NA,NA,2.8,3.1,1.4,0.1,1.8,1.7,19.5,9.68,0
"Jarrett Allen",33,33,32.2,5.4,9.6,0.566,5.4,9.4,0.579,0,0.2,0,2.5,4.5,0.564,3,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,12.75,1
"Jerome Allen",109,102,32.8,4.6,11.1,0.417,3,6.3,0.472,1.6,4.8,0.343,2.8,3.8,0.722,NA,NA,4.4,4.6,1.5,0.2,2.4,1.8,13.7,-4.54,0
"Kadeem Allen",68,61,27.5,3,6.6,0.459,2.3,4.8,0.482,0.7,1.8,0.4,2.3,3.1,0.725,0.3,3.3,3.6,3.3,1.3,0.7,2,2.4,9.1,7.43,0
"Lavoy Allen",135,130,32.2,4.4,8.2,0.534,4.2,7.7,0.549,0.1,0.5,0.288,1.6,2.4,0.671,3,5.5,8.5,2.1,0.5,1.6,1.4,2.5,10.5,4.24,0
"Malik Allen",127,61,24.1,3.4,6.7,0.514,3.4,6.7,0.514,0,0,NA,2.1,3,0.696,NA,NA,5.6,0.8,0.6,1.5,1.6,2.4,8.9,8.28,0
"Randy Allen",115,111,31.2,5.1,10.5,0.491,NA,NA,0.465,NA,NA,0,2.2,3.6,0.615,NA,NA,6.4,0.6,1,0.9,1.4,3.2,12.5,6.48,0
"Ray Allen",101,66,29.7,7,14.3,0.487,4.7,9.2,0.508,2.3,5.1,0.448,2.8,3.5,0.779,NA,NA,6,2.4,1.6,0.4,1.9,1.4,19,7.37,1
"Tony Allen",67,62,31.4,5.5,11.5,0.477,4.7,9.3,0.508,0.8,2.2,0.347,3.5,5.2,0.682,1.7,3.7,5.5,2.9,2,0.8,2.8,2.9,15.3,7.84,0
"Lance Allred",95,54,20.7,3.4,7.1,0.481,3.4,7,0.483,0.1,0.1,0.429,2.8,3.9,0.718,2.1,3.9,6,0.8,0.3,0.2,1.7,1.9,9.7,0.89,0
"Darrell Allums",92,27,13.1,1.3,2.7,0.488,NA,NA,NA,NA,NA,NA,1.1,1.6,0.688,NA,NA,3.3,0.6,NA,NA,NA,2.1,3.8,5.29,0
"Morris Almond",121,56,27.1,5.2,10.5,0.492,3.9,7.6,0.514,1.3,2.9,0.435,3.5,4.2,0.824,1,2.5,3.5,1,0.7,0.5,2.2,1.7,15.1,2.25,0
"Derrick Alston",114,52,33,6.5,11.6,0.561,6.5,11.6,0.562,0,0,0.333,3.7,6.4,0.576,NA,NA,7.7,1.3,1.2,2,3,3.5,16.7,4.25,0
"Rafer Alston",33,NA,31.2,3.8,9.4,0.401,1.8,3.4,0.513,2,5.9,0.337,1.5,2,0.758,NA,NA,2.2,7.3,2.1,0.4,3.4,2.9,11,5.63,0
